doc_code	item_id	title	snippet	text_url	enhanced_url
gensen_aramashi_2026	s006-part-06	第3 退職所得の源泉徴収事務 (part 6/8)	一般退職手当等及び特定役員退職手当等の両方の支給がある場合又は 短期退職手当等及び特定役員退職手当等の両方の支給がある場合の特定 役員退職所得控除額は、次の算式により求めた金額となります（所令71 の２③一、⑤一）。 〈算式〉 特定役員退…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s006-part-06.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s006-part-06.html
gensen_aramashi_2026	s006-part-07	第3 退職所得の源泉徴収事務 (part 7/8)	に、支払者を経由して所轄税務署長に提出することになっていますが、税 務署長から提出を求められるまでの間は、提出を受けた退職手当の支払者 が保存するものとされています。ただし、この申告書の提出期限の属する 年の翌年の１月10日の翌日から７年…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s006-part-07.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s006-part-07.html
gensen_aramashi_2026	s006-part-08	第3 退職所得の源泉徴収事務 (part 8/8)	③ 特定役員等勤続年数は、Ｄ社の勤続期間の４年１か月で５年となり、 また、Ｃ社の一般勤続期間とＤ社の特定役員等勤続期間とが重複して いる期間（令4.11.1〜令8.4.30）は３年６か月ですので、重複勤続 年数は４年となります。よ…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s006-part-08.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s006-part-08.html
gensen_aramashi_2026	s007-part-01	第4 公的年金等の源泉徴収事務 (part 1/2)	[page 1] 第４ 公的年金等の源泉徴収事務 公的年金等の所得区分は雑所得とされていますが、この公的年金等について は、通常、経済的稼得力が減退する局面にある人の生計手段とするために給付 されるものであること等を考慮して、通常の雑所得…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s007-part-01.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s007-part-01.html
gensen_aramashi_2026	s007-part-02	第4 公的年金等の源泉徴収事務 (part 2/2)	１ 扶養親族等申告書を提出することができる人の場合（所法203の３一、四、 措法41の15の３②、41の16の２③④、指令26の27の２①） ⑴ 源泉徴収税額の計算 源泉徴収税額は、次の算式により求めた金額となります。 5.105％（１円…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s007-part-02.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s007-part-02.html
gensen_aramashi_2026	s008-part-01	第5 報酬・料金等の源泉徴収事務 (part 1/3)	[page 1] 第５ 報酬・料金等の源泉徴収事務 Ⅰ 居住者に支払う報酬・料金等に対する源泉徴収 居住者に対し、国内において次の１から８までの表に掲げる報酬・料金等の 支払をする者は、その支払の都度それぞれ次の表に掲げる額の所得税及び復…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s008-part-01.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s008-part-01.html
gensen_aramashi_2026	s008-part-02	第5 報酬・料金等の源泉徴収事務 (part 2/3)	とに対して支払う報酬・料金 行うのが建前ですが、建 ⑸ 建築に関する法令又は条例に基づく手続 築士の業務に関する報 の代理を行ったことに対して支払う報酬・ 酬・料金の部分が極めて 料金 少額であると認められる （注）1 個人の建築業者等…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s008-part-02.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s008-part-02.html
gensen_aramashi_2026	s008-part-03	第5 報酬・料金等の源泉徴収事務 (part 3/3)	行う者のその役務提供に して取り扱われます。） −184− [page 17] 左の報酬・料金に該当す 左の報酬・料金に類似す 区 分 源泉徴収税額 るもの るが該当しないもの 芸能人の 関する報酬・料金 役務の提 （注）１ 「役務提供…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s008-part-03.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s008-part-03.html
gensen_aramashi_2026	s009	第6 生命保険契約等に基づく年金等の源泉徴収事務	[page 1] 第６ 生命保険契約等に基づく年金等の源泉徴収事務 Ⅰ 生命保険契約・損害保険契約等に基づく年金に対する源泉徴収 居住者に対し、国内において次の１から15までに掲げる保険業法に規定す る生命保険会社、損害保険会社等と締結し…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s009.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s009.html
gensen_aramashi_2026	s010-part-01	第7 利子所得の源泉徴収事務 (part 1/6)	[page 1] 第７ 利子所得の源泉徴収事務 Ⅰ 利子所得の源泉徴収事務 １ 源泉徴収の対象となる利子所得の範囲 源泉徴収の対象となる利子所得は、次の表に掲げるとおりです（所法 23、174、181、212、措法３、３の３、４の４、６）…	https://jplawdb.github.io/html-preview/ai-nta-guide-db/text/gensen_aramashi_2026/s010-part-01.txt	https://jplawdb.github.io/html-preview/ai-nta-guide-db/enhanced/gensen_aramashi_2026/s010-part-01.html
